date,CSUSHPISA,MSPUS,MEHOINUSA672N,CPIHOSSL,CUSR0000SEHA,MORTGAGE30US,LES1252881600Q,price_to_income_ratio
1963-01-01,,17800.0,,,,,,
1963-04-01,,18000.0,,,,,,
1963-07-01,,17900.0,,,,,,
1963-10-01,,18500.0,,,,,,
1964-01-01,,18500.0,,,,,,
1964-04-01,,18900.0,,,,,,
1964-07-01,,18900.0,,,,,,
1964-10-01,,19400.0,,,,,,
1965-01-01,,20200.0,,,,,,
1965-04-01,,19800.0,,,,,,
1965-07-01,,20200.0,,,,,,
1965-10-01,,20300.0,,,,,,
1966-01-01,,21000.0,,,,,,
1966-04-01,,22100.0,,,,,,
1966-07-01,,21500.0,,,,,,
1966-10-01,,21400.0,,,,,,
1967-01-01,,22300.0,,30.5,,,,
1967-02-01,,,,30.5,,,,
1967-03-01,,,,30.5,,,,
1967-04-01,,23300.0,,30.6,,,,
1967-05-01,,,,30.7,,,,
1967-06-01,,,,30.7,,,,
1967-07-01,,22500.0,,30.8,,,,
1967-08-01,,,,30.9,,,,
1967-09-01,,,,31.0,,,,
1967-10-01,,22900.0,,31.0,,,,
1967-11-01,,,,31.1,,,,
1967-12-01,,,,31.2,,,,
1968-01-01,,23900.0,,31.3,,,,
1968-02-01,,,,31.4,,,,
1968-03-01,,,,31.5,,,,
1968-04-01,,24900.0,,31.6,,,,
1968-05-01,,,,31.7,,,,
1968-06-01,,,,31.9,,,,
1968-07-01,,24800.0,,32.1,,,,
1968-08-01,,,,32.3,,,,
1968-09-01,,,,32.4,,,,
1968-10-01,,25600.0,,32.5,,,,
1968-11-01,,,,32.7,,,,
1968-12-01,,,,32.9,,,,
1969-01-01,,25700.0,,33.0,,,,
1969-02-01,,,,33.1,,,,
1969-03-01,,,,33.4,,,,
1969-04-01,,25900.0,,33.6,,,,
1969-05-01,,,,33.7,,,,
1969-06-01,,,,33.9,,,,
1969-07-01,,25900.0,,34.1,,,,
1969-08-01,,,,34.3,,,,
1969-09-01,,,,34.5,,,,
1969-10-01,,24900.0,,34.7,,,,
1969-11-01,,,,34.8,,,,
1969-12-01,,,,35.0,,,,
1970-01-01,,23900.0,,35.1,,,,
1970-02-01,,,,35.4,,,,
1970-03-01,,,,35.8,,,,
1970-04-01,,24400.0,,35.9,,,,
1970-05-01,,,,36.1,,,,
1970-06-01,,,,36.3,,,,
1970-07-01,,23000.0,,36.5,,,,
1970-08-01,,,,36.6,,,,
1970-09-01,,,,36.9,,,,
1970-10-01,,22600.0,,37.1,,,,
1970-11-01,,,,37.3,,,,
1970-12-01,,,,37.4,,,,
1971-01-01,,24300.0,,37.5,,,,
1971-02-01,,,,37.5,,,,
1971-03-01,,,,37.4,,,,
1971-04-01,,25800.0,,37.4,,,,
1971-04-02,,,,,,7.33,,
1971-04-09,,,,,,7.31,,
1971-04-16,,,,,,7.31,,
1971-04-23,,,,,,7.31,,
1971-04-30,,,,,,7.29,,
1971-05-01,,,,37.6,,,,
1971-05-07,,,,,,7.38,,
1971-05-14,,,,,,7.42,,
1971-05-21,,,,,,7.44,,
1971-05-28,,,,,,7.46,,
1971-06-01,,,,37.9,,,,
1971-06-04,,,,,,7.52,,
1971-06-11,,,,,,7.52,,
1971-06-18,,,,,,7.54,,
1971-06-25,,,,,,7.54,,
1971-07-01,,25300.0,,38.1,,,,
1971-07-02,,,,,,7.54,,
1971-07-09,,,,,,7.54,,
1971-07-16,,,,,,7.6,,
1971-07-23,,,,,,7.65,,
1971-07-30,,,,,,7.69,,
1971-08-01,,,,38.2,,,,
1971-08-06,,,,,,7.66,,
1971-08-13,,,,,,7.73,,
1971-08-20,,,,,,7.71,,
1971-08-27,,,,,,7.69,,
1971-09-01,,,,38.4,,,,
1971-09-03,,,,,,7.71,,
1971-09-10,,,,,,7.67,,
1971-09-17,,,,,,7.7,,
1971-09-24,,,,,,7.67,,
1971-10-01,,25500.0,,38.5,,7.67,,
1971-10-08,,,,,,7.63,,
1971-10-15,,,,,,7.63,,
1971-10-22,,,,,,7.58,,
1971-10-29,,,,,,7.63,,
1971-11-01,,,,38.6,,,,
1971-11-05,,,,,,7.59,,
1971-11-12,,,,,,7.56,,
1971-11-19,,,,,,7.54,,
1971-11-26,,,,,,7.51,,
1971-12-01,,,,38.7,,,,
1971-12-03,,,,,,7.49,,
1971-12-10,,,,,,7.47,,
1971-12-17,,,,,,7.48,,
1971-12-24,,,,,,7.48,,
1971-12-31,,,,,,7.48,,
1972-01-01,,26200.0,,38.9,,,,
1972-01-07,,,,,,7.46,,
1972-01-14,,,,,,7.46,,
1972-01-21,,,,,,7.43,,
1972-01-28,,,,,,7.4,,
1972-02-01,,,,39.0,,,,
1972-02-04,,,,,,7.35,,
1972-02-11,,,,,,7.33,,
1972-02-18,,,,,,7.31,,
1972-02-25,,,,,,7.31,,
1972-03-01,,,,39.0,,,,
1972-03-03,,,,,,7.32,,
1972-03-10,,,,,,7.32,,
1972-03-17,,,,,,7.31,,
1972-03-24,,,,,,7.31,,
1972-03-31,,,,,,7.23,,
1972-04-01,,26800.0,,39.1,,,,
1972-04-07,,,,,,7.25,,
1972-04-14,,,,,,7.29,,
1972-04-21,,,,,,7.29,,
1972-04-28,,,,,,7.33,,
1972-05-01,,,,39.2,,,,
1972-05-05,,,,,,7.33,,
1972-05-12,,,,,,7.38,,
1972-05-19,,,,,,7.38,,
1972-05-26,,,,,,7.4,,
1972-06-01,,,,39.4,,,,
